subject,release,task,availability,et_nan_values,eeg_sampling_rate_hz,et_sampling_rate_hz,eeg_channel_cnt,eeg_bad_channel_count,et_channel_cnt,eog_electrode_used_HEOG_anode,eog_electrode_used_HEOG_cathode,eog_electrode_used_VEOG_anode,eog_electrode_used_VEOG_cathode,eog_electrode_is_fallback_HEOG_anode,eog_electrode_is_fallback_HEOG_cathode,eog_electrode_is_fallback_VEOG_anode,eog_electrode_is_fallback_VEOG_cathode,et_samples_trimmed,eeg_samples_trimmed,gauss_A,gauss_mu,gauss_sigma,gauss_b,gauss_xcorr_cosine_similarity_full,gauss_xcorr_cosine_similarity_full_n,gauss_xcorr_cosine_similarity_95,gauss_xcorr_cosine_similarity_95_n,xcorr_zero,snr,xcorr_peak,xcorr_peak_idx,xcorr_peak_prominence,xcorr_second_peak,xcorr_second_peak_idx,xcorr_second_peak_prominence,shared_events,longest_gap_between_events,mean_abs_sync_error_ms,median_abs_sync_error_ms,within_1_sample,within_4_samples,regression_slope,regression_intercept,n_saccades,n_blinks,avg_saccade_duration_ms,avg_fixation_duration_ms,avg_blink_duration_ms,avg_saccade_amplitude
NDARAG644KE3,R10,ThePresent,available,535,500.0,60.01381973607911,130,0,42,E8,E25,E21,E17,False,False,False,False,135,220,0.0095537712423184,23.25753695101931,133.60874763229037,0.0004487055919757,0.9446224072530368,6000,0.9975589392747688,524,0.0105026439125243,9.23428815943523,0.0112182330459733,25.0,0.0120879879999882,0.0024604873890916,-43666.0,0.0027518048091093,2,203.065998,7.582823258189819e-11,7.582823258189819e-11,0,0,1.0000000000000002,0.0080960000000377,1416,92,47.46458049898285,189.22089249877877,244.6617987281468,13.196151129943503
NDARAN160GUF,R9,ThePresent,available,212,500.0,60.023570582311365,130,0,42,E8,E25,E21,E17,False,False,False,False,230,236,0.005331763604633,-53.34828238451683,434.322802612465,0.0041858941551693,0.954588161222428,6000,0.9962581737586084,1702,0.010940389651707,4.54502275198554,0.0112087052938312,25.0,0.0117446635728357,0.0070991995667408,-14767.0,0.0054478050383422,2,203.276,6.106226635438361e-11,6.106226635438361e-11,2,2,0.9999999999999996,-0.0014040000000364,1439,38,30.18440411524486,241.0428810457853,263.9439638754897,1.671862404447533
NDARUK588UY6,R8,ThePresent,available,978,500.0,60.01870760954405,130,0,42,E8,E25,E21,E17,False,False,False,False,253,214,0.0087889577529249,-11.22506957763635,242.21968172004185,0.0015495156937644,0.9165241062665572,6000,0.9984923960565378,949,0.010884770903676,8.238286190739888,0.0111425707012438,25.0,0.0111640547724187,0.0039649716606436,-19326.0,0.0032615683541917,2,203.286003,7.815970093361102e-11,7.815970093361102e-11,0,2,0.9999999999999996,0.0072789999999581,1143,236,35.595070333100914,239.21702851828067,202.53956962321564,5.731181102362204
NDARNA984ZXT,R11,ThePresent,available,397,500.0,60.018434914225615,130,0,42,E8,E25,E21,E17,False,False,False,False,204,223,0.0036996514429627,11.126630554953778,152.8060437475864,0.0068005358482317,0.9562817318130428,6000,0.99967879263172,599,0.0107642254041587,2.4631399675016583,0.0110753607052414,28.0,0.0047948010443535,0.0107824089038212,-20832.0,0.0042054292111048,2,203.065995,9.79216707719388e-11,9.79216707719388e-11,2,2,1.0000000000000002,0.0013560000000819,1368,78,31.520073829508732,250.38577474171055,206.9647130804718,2.889707602339181
NDAREN691WTC,R10,ThePresent,available,429,500.0,60.013757790939145,130,0,42,E8,E25,E21,E17,False,False,False,False,344,249,0.0065702832741522,-92.58757514539867,415.4385499787095,0.0033698346406979,0.9668568481084512,6000,0.9974978846009556,1628,0.0106896435209202,4.874551655673606,0.0108525795607464,25.0,0.0098838976862115,0.009711634047103,7856.0,0.0086809643882136,2,203.065999,1.7430501486614958e-11,1.7430501486614958e-11,0,2,1.0,-0.0059890000000062,1161,42,30.99703576241598,299.2836977113243,378.43717853410914,3.153479758828596
NDARFR873KZX,R8,ThePresent,available,1944,500.0,60.02357396351867,130,0,42,E8,E25,E21,E17,False,False,False,False,478,221,0.0090303194421389,-20.570257458551268,390.7250011174373,-0.0004472661154624,0.9214616461902876,6000,0.9868631470085544,1532,0.0106458646267644,8.755162453059267,0.0108485077734534,21.0,0.0122310974692777,0.0040585623271425,-18075.0,0.0044547206824876,2,203.286002,3.1530333899354446e-11,3.1530333899354446e-11,2,2,0.9999999999999996,-0.0018259999999364,1296,312,31.98371141995525,216.81755215464415,222.5145902761309,3.3078163580246915
NDARGC124PAW,R8,ThePresent,available,217,500.0,60.01837496796106,130,0,42,E8,E25,E21,E17,False,False,False,False,128,229,0.0062661135186983,68.07761892924525,334.1893559459482,0.0015787825102791,0.9423044640692532,6000,0.9830752710914662,1310,0.0098678833588844,14.786096122189722,0.0106190410207041,36.0,0.0115674197463568,0.0039498711931119,705.0,1.0246727457638612e-05,2,203.286002,2.8754776337791554e-11,2.8754776337791554e-11,0,2,1.0,-0.0054769999999705,1328,95,38.18904897734827,207.248735044328,601.007183186474,5.016995481927711
NDARRN626DC4,R10,ThePresent,available,382,500.0,60.01868415261988,130,0,42,E8,E25,E21,E17,False,False,False,False,215,243,0.0073118601506253,26.69269460679099,424.0936736805856,0.0009512704706549,0.9507825696921232,6000,0.9913900508572504,1662,0.0101456311228725,9.092136750071612,0.0105448433349971,26.0,0.0107338830924791,0.0063844698308243,-13115.0,0.0054082800859855,2,203.067992,5.4622972811557695e-11,5.4622972811557695e-11,0,2,0.9999999999999996,-0.0023180000000233,1163,48,26.6455844610304,310.813030126128,266.5597931763651,2.096233877901977
NDARPC301UWR,R8,ThePresent,available,76,500.0,60.02353200963967,130,0,42,E8,E25,E21,E17,False,False,False,False,214,225,0.0086206457864999,5.67198147575832,237.0329093199933,0.000407363633892,0.9356265323206338,6000,0.9973868777661352,929,0.0097056371332178,8.106010925904018,0.0101264433255926,29.0,0.0112630285227527,0.00500950941544,-21758.0,0.0052402121672476,2,203.276,2.942091015256665e-11,2.942091015256665e-11,0,2,0.9999999999999996,-0.0041059999999693,1323,24,35.299518928892326,256.9020399349192,251.2999830105813,2.2653212396069544
NDARMJ333WJM,R8,ThePresent,available,196,500.0,60.02360445167657,130,0,42,E8,E25,E21,E17,False,False,False,False,209,223,0.0087848007055607,39.73365486311381,331.8796623878033,-0.0014532025812884,0.9346920189257848,6000,0.981770088934384,1301,0.0089206250333593,7.818479615970815,0.0093525286637325,27.0,0.0120927533147652,0.0038015934474765,8172.0,0.0068478414874385,2,203.275993,5.084821452783217e-11,5.084821452783217e-11,2,2,1.0000000000000002,-0.0001089999999837,1533,47,31.223584583483785,221.13369158273852,196.0299713656084,1.749641226353555
NDARTJ862ENU,R8,ThePresent,available,354,500.0,60.02351662455472,130,0,42,E8,E25,E21,E17,False,False,False,False,180,228,0.00783071038951,35.45999621216138,178.59875550463502,-0.00090079194722,0.9313890345853264,6000,0.9863124695578204,700,0.0079936801764823,17.02131929165938,0.0085587912783477,26.0,0.0102485169051168,0.0008492293541229,4607.0,0.0024276543790955,2,203.275995,3.3084646133829665e-11,3.3084646133829665e-11,0,2,0.9999999999999996,-0.0022950000000087,1479,48,33.82883630421978,226.2892476009412,356.1240851287111,1.9223529411764704
NDARRW536ZM2,R9,ThePresent,available,261,500.0,60.02360488199452,130,0,42,E8,E25,E21,E17,False,False,False,False,258,228,0.0069832179685672,12.74774016043713,310.2303796346744,-0.0006564901602441,0.9620729117578292,6000,0.9835491119331442,1216,0.0081177779623464,17.87751757813167,0.0085408248172454,23.0,0.0097883360829692,0.0017941759449239,14652.0,0.0030427560933012,2,203.275996,6.517009154549669e-11,6.517009154549669e-11,2,2,1.0,-0.0011879999999264,1446,37,30.59171212912806,244.7923252058241,205.79009970859624,1.4298893499308436
NDARHT518WEM,R11,ThePresent,available,550,500.0,60.02353808176257,130,0,42,E8,E25,E21,E17,False,False,False,False,288,218,0.0060821584908298,9.061402539436862,248.74808260107275,0.000476107541222,0.92469018903153,6000,0.9904300289273874,975,0.00775020565136,11.49474224143199,0.0082773899963115,27.0,0.0086603188938776,0.0029221944531433,-46535.0,0.0023581434395971,2,203.066005,2.2315482794965646e-11,2.2315482794965646e-11,0,2,1.0,0.0072949999999838,1505,127,32.80136380362142,218.09971310039109,172.77801759640786,3.647734219269103
NDARGM159ZL9,R10,ThePresent,available,98,500.0,60.02342517151038,130,0,42,E8,E25,E21,E17,False,False,False,False,179,237,0.0062305066814266,24.45360247361921,187.8528053694092,0.0010403720921119,0.9684880369174758,6000,0.9987180703879912,736,0.0076142859861974,14.134063651784327,0.0080015549626568,29.0,0.0079341778521781,0.0022418552618074,-13841.0,0.0019882373386208,2,203.076004,1.4654943925052066e-11,1.4654943925052066e-11,0,2,1.0,-0.0077299999999986,1890,27,40.38237660461432,172.832605851534,119.71102357815718,2.4625714285714286
NDARHZ375JRF,R8,ThePresent,available,1648,500.0,59.811827000323525,130,0,42,E8,E25,E21,E17,False,False,False,False,184,220,0.0081317360853109,-57.05052862534298,494.0032357295565,-0.0010041805233054,0.9111903319270596,6000,0.993726263827492,1937,0.0079470314971152,6.59430346960976,0.007951998155029,6.0,0.0092917501763734,0.0034489025510335,-43747.0,0.003141104712549,2,203.286003,2.5424107263916085e-11,2.5424107263916085e-11,0,2,1.0,-0.0040089999999774,658,199,74.44194374097975,129.97054396235222,1084.9396666131086,9.757993920972645
NDARRU979UBW,R5,ThePresent,available,426,500.0,119.4951584508018,130,0,34,E8,E25,E21,E17,False,False,False,False,0,250,0.0069145796230583,86.27418985374825,353.5480155487223,-0.0004274899393876,0.9466430461784996,6000,0.9881333441450596,1386,0.0070934839947665,14.153494455995707,0.0078663086801281,84.0,0.0086689191066742,0.0017524770371355,14438.0,0.0023796426907034,2,203.070004,4.307665335545608e-11,4.307665335545608e-11,2,2,0.9999999999999996,0.0009000000000319,1746,49,31.559538261019988,199.2072997030345,222.90088024510183,2.549581901489118
NDARHV743KA4,R10,ThePresent,available,1157,500.0,60.02346531576702,130,0,42,E8,E25,E21,E17,False,False,False,False,107,239,0.0057949435568901,-26.924347214120743,328.1384465620998,0.0008112131785283,0.927239719924665,6000,0.9953099723265096,1287,0.0076230271848,9.220355293257905,0.0077283033420679,18.0,0.0083274657709789,0.0030167484718386,-20370.0,0.003171868053238,2,203.065995,4.307665335545608e-11,4.307665335545608e-11,0,2,1.0,0.0067280000000577,1694,293,56.39439871408485,141.77316090330544,150.97004682603492,5.412969303423849
